,Features,"Local 
 Importance",Class,Trial
713,MM_Intercept > 0.20,-0.013265108274015322,Control,Trial 1
714,hmm5_p3 <= 0.13,-0.012855870759781186,Control,Trial 1
715,0.22 < hmm5_p2 <= 0.29,0.012323315863178716,Experiment,Trial 1
716,hmm5_sd.3 > 0.02,0.01099038263196152,Experiment,Trial 1
717,0.24 < hmm5_mean.5 <= 0.35,-0.01031468084026282,Control,Trial 1
718,0.02 < hmm5_sd.5 <= 0.04,-0.008516499120596146,Control,Trial 1
719,0.01 < hmm5_sd.2 <= 0.02,0.00803271823899884,Experiment,Trial 1
720,0.18 < hmm5_p1 <= 0.22,-0.004394394409842837,Control,Trial 1
721,0.18 < hmm5_mean.2 <= 0.28,-0.002618913592078003,Control,Trial 1
722,0.18 < hmm5_mean.3 <= 0.25,0.0016301349786869935,Experiment,Trial 1
723,average_peak_curvature <= -0.00,0.0010353161340011523,Experiment,Trial 1
724,0.20 < hmm5_p4 <= 0.25,-0.0009969592053675706,Control,Trial 1
725,hmm5_mean.1 > 0.33,0.0008861176480893538,Experiment,Trial 1
726,-19.21 < MM_Hess <= 1.02,0.5292253276774929,Experiment,Trial 1
727,-0.63 < idle_time <= -0.24,-0.06510374339219198,Control,Trial 1
728,-0.37 < angle_sum <= 0.74,0.04339435737002922,Experiment,Trial 1
729,hmm5_mean.4 > 0.26,0.02419790845219985,Experiment,Trial 1
730,-0.04 < MM_Intercept <= 0.22,0.023356013925295755,Experiment,Trial 1
731,-0.69 < dis_sum <= -0.02,0.018424671270979347,Experiment,Trial 1
732,hmm5_sd.3 > 0.02,0.015626891772590027,Experiment,Trial 1
733,average_peak_magnitude > 0.91,-0.015082348273654421,Control,Trial 1
734,0.18 < hmm5_p1 <= 0.22,-0.013425784960973516,Control,Trial 1
735,0.18 < hmm5_mean.3 <= 0.25,0.01317784403301206,Experiment,Trial 1
736,-0.76 < average_speed <= -0.02,-0.012669405598275544,Control,Trial 1
737,0.21 < hmm5_mean.1 <= 0.33,0.008597289405335624,Experiment,Trial 1
738,hmm5_mean.2 > 0.28,0.007830619233647253,Experiment,Trial 1
739,0.20 < hmm5_p4 <= 0.25,-0.006957483498260089,Control,Trial 1
740,hmm5_sd.5 <= 0.01,-0.005574223548058104,Control,Trial 1
741,0.01 < hmm5_sd.2 <= 0.01,0.005377658081513715,Experiment,Trial 1
742,0.24 < hmm5_mean.5 <= 0.35,0.005225512008796651,Experiment,Trial 1
743,0.02 < hmm5_sd.1 <= 0.03,0.00504829481753584,Experiment,Trial 1
744,hmm5_sd.4 > 0.03,-0.004633195813159221,Control,Trial 1
745,average_peak_curvature <= -0.00,-0.0016070173593813652,Control,Trial 1
746,hmm5_p3 > 0.22,0.0011399616941858795,Experiment,Trial 1
747,hmm5_p2 <= 0.19,-9.559079758400408e-05,Control,Trial 1
748,MM_Hess > 7.01,-0.33463584724172213,Control,Trial 1
749,angle_sum > 0.38,-0.27098795909291695,Control,Trial 1
750,dis_sum > 0.40,-0.2674147841703912,Control,Trial 1
751,idle_time > 0.05,0.13280008903372714,Experiment,Trial 1
752,average_speed <= -0.67,-0.03289663498974677,Control,Trial 1
753,0.13 < hmm5_p1 <= 0.19,-0.024877564091187743,Control,Trial 1
754,hmm5_p3 <= 0.13,0.02296045571884558,Experiment,Trial 1
755,MM_Intercept <= -0.20,0.02248069284975989,Experiment,Trial 1
756,hmm5_mean.5 <= 0.16,-0.020476909499577357,Control,Trial 1
757,0.01 < hmm5_sd.3 <= 0.02,0.01311531410690311,Experiment,Trial 1
758,0.22 < hmm5_p2 <= 0.29,-0.010642844300577908,Control,Trial 1
759,0.01 < hmm5_sd.5 <= 0.02,0.00916653185256533,Experiment,Trial 1
760,hmm5_sd.1 <= 0.01,0.008202008923148525,Experiment,Trial 1
761,average_peak_curvature > -0.00,-0.00808764633832162,Control,Trial 1
762,hmm5_mean.3 <= 0.14,-0.007395176419910532,Control,Trial 1
763,hmm5_p4 > 0.24,-0.006826429243628581,Control,Trial 1
764,average_peak_magnitude <= -0.15,-0.0043913021785977465,Control,Trial 1
765,hmm5_mean.4 <= 0.16,-0.004176408401894585,Control,Trial 1
766,hmm5_mean.2 <= 0.13,0.0037055688650282498,Experiment,Trial 1
767,hmm5_sd.2 <= 0.01,-0.003479111678932407,Control,Trial 1
768,hmm5_sd.4 <= 0.01,0.002516379698234903,Experiment,Trial 1
769,hmm5_mean.1 <= 0.15,-0.0023253347393334504,Control,Trial 1
770,-19.21 < MM_Hess <= 1.02,0.5817500677758388,Experiment,Trial 1
771,angle_sum > 0.38,-0.17991183492516608,Control,Trial 1
772,idle_time > 0.05,0.13371879637079961,Experiment,Trial 1
773,average_speed <= -0.67,-0.03934701242658497,Control,Trial 1
774,-0.06 < dis_sum <= 0.43,-0.03226799898382639,Control,Trial 1
775,hmm5_p4 <= 0.15,0.02464276690374221,Experiment,Trial 1
776,0.34 < average_peak_magnitude <= 1.05,-0.02181426529118757,Control,Trial 1
777,0.19 < hmm5_p2 <= 0.23,-0.018066882309857472,Control,Trial 1
778,0.21 < hmm5_mean.1 <= 0.34,-0.010785357802072907,Control,Trial 1
779,0.13 < hmm5_p1 <= 0.19,-0.010626240036554713,Control,Trial 1
780,hmm5_mean.4 <= 0.16,0.00940926237809384,Experiment,Trial 1
781,-0.00 < average_peak_curvature <= -0.00,-0.008011203658084932,Control,Trial 1
782,0.18 < hmm5_mean.3 <= 0.25,-0.005674765199092031,Control,Trial 1
783,0.01 < hmm5_sd.4 <= 0.02,0.0031300860641248905,Experiment,Trial 1
784,0.16 < hmm5_mean.5 <= 0.25,0.0027455425501392173,Experiment,Trial 1
785,hmm5_sd.1 > 0.03,0.0024693451595426234,Experiment,Trial 1
786,0.01 < hmm5_sd.3 <= 0.02,0.002293638045853489,Experiment,Trial 1
787,-0.04 < MM_Intercept <= 0.22,-0.0019794504955039124,Control,Trial 1
788,hmm5_sd.5 <= 0.01,-0.0017997436150386588,Control,Trial 1
789,hmm5_p3 > 0.22,-0.0016331124806124812,Control,Trial 1
790,0.12 < hmm5_mean.2 <= 0.19,0.0011022031404942624,Experiment,Trial 1
791,0.01 < hmm5_sd.2 <= 0.01,-0.0010663818410170298,Control,Trial 1
792,MM_Hess > 7.01,-0.3645974080202413,Control,Trial 1
793,angle_sum > 0.38,-0.2698639390453394,Control,Trial 1
794,dis_sum > 0.40,-0.20809971199140206,Control,Trial 1
795,idle_time > 0.05,0.11311246450792135,Experiment,Trial 1
796,average_peak_magnitude <= -0.15,0.03072446972716326,Experiment,Trial 1
797,MM_Intercept <= -0.20,0.02963852071252074,Experiment,Trial 1
798,0.13 < hmm5_p1 <= 0.19,-0.019482796197194032,Control,Trial 1
799,average_speed <= -0.67,-0.015214962059339952,Control,Trial 1
800,hmm5_sd.4 <= 0.01,-0.014764662689819795,Control,Trial 1
801,hmm5_p3 > 0.22,0.010657582277097169,Experiment,Trial 1
802,0.19 < hmm5_p2 <= 0.23,-0.010630379496626569,Control,Trial 1
803,0.21 < hmm5_mean.1 <= 0.34,0.01018469165231602,Experiment,Trial 1
804,hmm5_sd.3 <= 0.01,0.007699569183782956,Experiment,Trial 1
805,hmm5_mean.4 <= 0.16,-0.005864333320301235,Control,Trial 1
806,hmm5_p4 > 0.24,-0.003973874001776175,Control,Trial 1
807,0.01 < hmm5_sd.5 <= 0.02,-0.0023833030071903024,Control,Trial 1
808,hmm5_mean.2 <= 0.13,-0.0015022904147768382,Control,Trial 1
809,hmm5_mean.5 <= 0.16,0.0014314885283939328,Experiment,Trial 1
810,hmm5_mean.3 <= 0.14,-0.0006142151001437482,Control,Trial 1
811,hmm5_sd.1 > 0.03,-0.0005109445338993194,Control,Trial 1
812,average_peak_curvature > -0.00,-0.00037627992524280043,Control,Trial 1
813,hmm5_sd.2 <= 0.01,2.9616301233643287e-05,Experiment,Trial 1
814,-19.21 < MM_Hess <= 1.02,0.4696868623054755,Experiment,Trial 1
815,MM_Intercept > 0.20,-0.08867442309615692,Control,Trial 1
816,-0.63 < idle_time <= -0.24,-0.08624966332358508,Control,Trial 1
817,-0.62 < angle_sum <= -0.33,0.06903165467642589,Experiment,Trial 1
818,-0.69 < dis_sum <= -0.02,0.06013926883983999,Experiment,Trial 1
819,-0.76 < average_speed <= -0.02,-0.02604790473280927,Control,Trial 1
820,hmm5_sd.1 > 0.03,-0.02324372584445572,Control,Trial 1
821,hmm5_p2 <= 0.19,-0.022229290214268428,Control,Trial 1
822,hmm5_sd.2 > 0.02,-0.021479310011019322,Control,Trial 1
823,hmm5_sd.4 > 0.03,0.019576774897389914,Experiment,Trial 1
824,0.01 < hmm5_sd.3 <= 0.01,-0.01765235942281977,Control,Trial 1
825,0.16 < hmm5_mean.5 <= 0.25,-0.014711332521822275,Control,Trial 1
826,0.18 < hmm5_mean.3 <= 0.25,0.01319346280220176,Experiment,Trial 1
827,0.34 < average_peak_magnitude <= 1.05,0.012784300422712272,Experiment,Trial 1
828,-0.00 < average_peak_curvature <= -0.00,-0.012702408720609454,Control,Trial 1
829,hmm5_p4 <= 0.15,0.011395138450260274,Experiment,Trial 1
830,0.17 < hmm5_p3 <= 0.23,-0.010134844278893194,Control,Trial 1
831,0.14 < hmm5_mean.1 <= 0.21,-0.008565868286966465,Control,Trial 1
832,hmm5_mean.4 > 0.26,-0.005183010573416813,Control,Trial 1
833,hmm5_mean.2 > 0.28,0.00467014618394207,Experiment,Trial 1
834,hmm5_sd.5 <= 0.01,-0.0032123342419943957,Control,Trial 1
835,hmm5_p1 > 0.22,-0.0017407743776943361,Control,Trial 1
836,MM_Hess > 7.01,-0.34252267079995574,Control,Trial 1
837,dis_sum <= -0.65,0.153014206307589,Experiment,Trial 1
838,angle_sum <= -0.58,0.11334099170117892,Experiment,Trial 1
839,average_peak_magnitude <= -0.15,0.07495856221569851,Experiment,Trial 1
840,-0.63 < idle_time <= -0.24,-0.051548422983349586,Control,Trial 1
841,MM_Intercept <= -0.20,0.04639944184043679,Experiment,Trial 1
842,hmm5_p2 <= 0.19,-0.0273982913680805,Control,Trial 1
843,average_speed > 0.25,0.02415781619146003,Experiment,Trial 1
844,hmm5_mean.3 <= 0.14,-0.01846950778407054,Control,Trial 1
845,0.01 < hmm5_sd.3 <= 0.01,0.01820611165658708,Experiment,Trial 1
846,hmm5_sd.1 <= 0.01,-0.01456518690436938,Control,Trial 1
847,0.13 < hmm5_p1 <= 0.19,0.014028140246314269,Experiment,Trial 1
848,0.16 < hmm5_mean.5 <= 0.25,0.012238927536726155,Experiment,Trial 1
849,-0.00 < average_peak_curvature <= -0.00,-0.01166167973073582,Control,Trial 1
850,hmm5_sd.5 <= 0.01,0.01157000839647498,Experiment,Trial 1
851,0.20 < hmm5_p4 <= 0.25,-0.010733661261512118,Control,Trial 1
852,0.22 < hmm5_mean.4 <= 0.27,0.010593413211587854,Experiment,Trial 1
853,hmm5_p3 > 0.22,-0.008435463507092223,Control,Trial 1
854,0.12 < hmm5_mean.2 <= 0.19,0.0071802344689410645,Experiment,Trial 1
855,hmm5_mean.1 <= 0.15,-0.006009325210381765,Control,Trial 1
856,hmm5_sd.4 > 0.03,0.0046305961110287945,Experiment,Trial 1
857,hmm5_sd.2 <= 0.01,0.004165114835246201,Experiment,Trial 1
